number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
73,0.8217993079584776,2026-07-07 17:42:58.570020,2026-07-07 17:42:59.680839,0 days 00:00:01.110819,logistic,0.0001,"(10,)",1000,COMPLETE
74,0.8217993079584776,2026-07-07 17:42:59.680839,2026-07-07 17:43:00.814360,0 days 00:00:01.133521,logistic,0.0001,"(10,)",1000,COMPLETE
75,0.8217993079584776,2026-07-07 17:43:00.814360,2026-07-07 17:43:01.915570,0 days 00:00:01.101210,logistic,0.0001,"(10,)",1000,COMPLETE
76,0.7993079584775087,2026-07-07 17:43:01.915570,2026-07-07 17:43:02.138444,0 days 00:00:00.222874,logistic,0.0005,"(10,)",200,COMPLETE
77,0.8217993079584776,2026-07-07 17:43:02.138444,2026-07-07 17:43:02.681490,0 days 00:00:00.543046,relu,0.0001,"(10,)",1000,COMPLETE
78,0.8217993079584776,2026-07-07 17:43:02.681490,2026-07-07 17:43:03.813522,0 days 00:00:01.132032,logistic,0.0005,"(10,)",1000,COMPLETE
79,0.801038062283737,2026-07-07 17:43:03.813522,2026-07-07 17:43:04.370860,0 days 00:00:00.557338,tanh,0.0001,"(5,)",1000,COMPLETE
80,0.8217993079584776,2026-07-07 17:43:04.370860,2026-07-07 17:43:05.493147,0 days 00:00:01.122287,logistic,0.0005,"(10,)",1000,COMPLETE
81,0.8217993079584776,2026-07-07 17:43:05.493147,2026-07-07 17:43:06.590021,0 days 00:00:01.096874,logistic,0.0001,"(10,)",1000,COMPLETE
82,0.8217993079584776,2026-07-07 17:43:06.590021,2026-07-07 17:43:07.739138,0 days 00:00:01.149117,logistic,0.0001,"(10,)",1000,COMPLETE
83,0.8217993079584776,2026-07-07 17:43:07.739138,2026-07-07 17:43:08.840520,0 days 00:00:01.101382,logistic,0.0001,"(10,)",1000,COMPLETE
84,0.8217993079584776,2026-07-07 17:43:08.840520,2026-07-07 17:43:09.989424,0 days 00:00:01.148904,logistic,0.0001,"(10,)",1000,COMPLETE
85,0.8217993079584776,2026-07-07 17:43:09.989424,2026-07-07 17:43:10.516160,0 days 00:00:00.526736,relu,0.0001,"(10,)",1000,COMPLETE
86,0.8217993079584776,2026-07-07 17:43:10.516160,2026-07-07 17:43:11.647721,0 days 00:00:01.131561,logistic,0.0001,"(10,)",1000,COMPLETE
