number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_hidden_layer_sizes,params_max_iter,state
145,0.8888888888888888,2026-07-09 14:00:07.867630,2026-07-09 14:00:07.962558,0 days 00:00:00.094928,tanh,0.0001,"(10,)",1000,COMPLETE
146,0.8148148148148148,2026-07-09 14:00:07.962558,2026-07-09 14:00:08.058552,0 days 00:00:00.095994,tanh,0.0001,"(5,)",1000,COMPLETE
147,0.8888888888888888,2026-07-09 14:00:08.058552,2026-07-09 14:00:08.154753,0 days 00:00:00.096201,tanh,0.0001,"(10,)",1000,COMPLETE
148,0.8888888888888888,2026-07-09 14:00:08.154753,2026-07-09 14:00:08.250391,0 days 00:00:00.095638,tanh,0.0001,"(10,)",1000,COMPLETE
149,0.8888888888888888,2026-07-09 14:00:08.250391,2026-07-09 14:00:08.347170,0 days 00:00:00.096779,tanh,0.0001,"(10,)",1000,COMPLETE
150,0.8888888888888888,2026-07-09 14:00:08.347170,2026-07-09 14:00:08.443176,0 days 00:00:00.096006,tanh,0.0001,"(10,)",1000,COMPLETE
151,0.8888888888888888,2026-07-09 14:00:08.443176,2026-07-09 14:00:08.539599,0 days 00:00:00.096423,tanh,0.0001,"(10,)",1000,COMPLETE
152,0.8888888888888888,2026-07-09 14:00:08.539599,2026-07-09 14:00:08.636067,0 days 00:00:00.096468,tanh,0.0001,"(10,)",1000,COMPLETE
153,0.8888888888888888,2026-07-09 14:00:08.636067,2026-07-09 14:00:08.732227,0 days 00:00:00.096160,tanh,0.0001,"(10,)",1000,COMPLETE
154,0.8518518518518519,2026-07-09 14:00:08.732227,2026-07-09 14:00:08.827987,0 days 00:00:00.095760,relu,0.0001,"(10,)",1000,COMPLETE
155,0.8888888888888888,2026-07-09 14:00:08.827987,2026-07-09 14:00:08.924509,0 days 00:00:00.096522,tanh,0.0001,"(10,)",1000,COMPLETE
156,0.8148148148148148,2026-07-09 14:00:08.924509,2026-07-09 14:00:08.940287,0 days 00:00:00.015778,tanh,0.0001,"(10,)",200,COMPLETE
157,0.8888888888888888,2026-07-09 14:00:08.940287,2026-07-09 14:00:09.052031,0 days 00:00:00.111744,tanh,0.0005,"(10,)",1000,COMPLETE
158,0.8148148148148148,2026-07-09 14:00:09.052031,2026-07-09 14:00:09.163814,0 days 00:00:00.111783,logistic,0.0001,"(10,)",1000,COMPLETE
