number,value,datetime_start,datetime_complete,duration,params_booster,params_learning_rate,params_max_delta_step,params_min_child_weight,params_random_state,state
87,0.7165869619934558,2026-07-13 19:14:43.729599,2026-07-13 19:14:43.755426,0 days 00:00:00.025827,gblinear,0.1,0,1,42,COMPLETE
88,0.8089604832620186,2026-07-13 19:14:43.757166,2026-07-13 19:14:45.002941,0 days 00:00:01.245775,dart,0.1,0,1,42,COMPLETE
89,0.8089604832620186,2026-07-13 19:14:45.002941,2026-07-13 19:14:45.068169,0 days 00:00:00.065228,gbtree,0.1,0,1,42,COMPLETE
90,0.8089604832620186,2026-07-13 19:14:45.068169,2026-07-13 19:14:46.316387,0 days 00:00:01.248218,dart,0.1,0,1,42,COMPLETE
91,0.8089604832620186,2026-07-13 19:14:46.316387,2026-07-13 19:14:47.570270,0 days 00:00:01.253883,dart,0.1,0,1,42,COMPLETE
92,0.8089604832620186,2026-07-13 19:14:47.570270,2026-07-13 19:14:48.866300,0 days 00:00:01.296030,dart,0.1,0,1,42,COMPLETE
93,0.8089604832620186,2026-07-13 19:14:48.866300,2026-07-13 19:14:50.105477,0 days 00:00:01.239177,dart,0.1,0,1,42,COMPLETE
94,0.8089604832620186,2026-07-13 19:14:50.105477,2026-07-13 19:14:51.353963,0 days 00:00:01.248486,dart,0.1,0,1,42,COMPLETE
95,0.8089604832620186,2026-07-13 19:14:51.353963,2026-07-13 19:14:51.420788,0 days 00:00:00.066825,gbtree,0.1,0,1,42,COMPLETE
96,0.8089604832620186,2026-07-13 19:14:51.420788,2026-07-13 19:14:52.643832,0 days 00:00:01.223044,dart,0.1,0,1,42,COMPLETE
97,0.8089604832620186,2026-07-13 19:14:52.645834,2026-07-13 19:14:53.916414,0 days 00:00:01.270580,dart,0.1,0,1,42,COMPLETE
98,0.7993959224767179,2026-07-13 19:14:53.916414,2026-07-13 19:14:53.987715,0 days 00:00:00.071301,gbtree,0.05,0,1,42,COMPLETE
99,0.8089604832620186,2026-07-13 19:14:53.989459,2026-07-13 19:14:55.239249,0 days 00:00:01.249790,dart,0.1,0,1,42,COMPLETE
100,0.7165869619934558,2026-07-13 19:14:55.241251,2026-07-13 19:14:55.268770,0 days 00:00:00.027519,gblinear,0.1,0,1,42,COMPLETE
101,0.8089604832620186,2026-07-13 19:14:55.268770,2026-07-13 19:14:55.331993,0 days 00:00:00.063223,gbtree,0.1,0,1,42,COMPLETE
102,0.8089604832620186,2026-07-13 19:14:55.331993,2026-07-13 19:14:55.398773,0 days 00:00:00.066780,gbtree,0.1,0,1,42,COMPLETE
103,0.8089604832620186,2026-07-13 19:14:55.398773,2026-07-13 19:14:55.463931,0 days 00:00:00.065158,gbtree,0.1,0,1,42,COMPLETE
104,0.8089604832620186,2026-07-13 19:14:55.463931,2026-07-13 19:14:55.528710,0 days 00:00:00.064779,gbtree,0.1,0,1,42,COMPLETE
105,0.8089604832620186,2026-07-13 19:14:55.528710,2026-07-13 19:14:55.595749,0 days 00:00:00.067039,gbtree,0.1,0,1,42,COMPLETE
106,0.8089604832620186,2026-07-13 19:14:55.595749,2026-07-13 19:14:56.893617,0 days 00:00:01.297868,dart,0.1,0,1,42,COMPLETE
107,0.8089604832620186,2026-07-13 19:14:56.893617,2026-07-13 19:14:56.956656,0 days 00:00:00.063039,gbtree,0.1,0,1,42,COMPLETE
108,0.8089604832620186,2026-07-13 19:14:56.958398,2026-07-13 19:14:58.210936,0 days 00:00:01.252538,dart,0.1,0,1,42,COMPLETE
109,0.8089604832620186,2026-07-13 19:14:58.212938,2026-07-13 19:14:58.278244,0 days 00:00:00.065306,gbtree,0.1,0,1,42,COMPLETE
110,0.8089604832620186,2026-07-13 19:14:58.278244,2026-07-13 19:14:59.547847,0 days 00:00:01.269603,dart,0.1,0,1,42,COMPLETE
111,0.8089604832620186,2026-07-13 19:14:59.547847,2026-07-13 19:15:00.826544,0 days 00:00:01.278697,dart,0.1,0,1,42,COMPLETE
112,0.8089604832620186,2026-07-13 19:15:00.826544,2026-07-13 19:15:02.036981,0 days 00:00:01.210437,dart,0.1,0,1,42,COMPLETE
113,0.8089604832620186,2026-07-13 19:15:02.036981,2026-07-13 19:15:03.312339,0 days 00:00:01.275358,dart,0.1,0,1,42,COMPLETE
114,0.8089604832620186,2026-07-13 19:15:03.312339,2026-07-13 19:15:04.500676,0 days 00:00:01.188337,dart,0.1,0,1,42,COMPLETE
115,0.7993959224767179,2026-07-13 19:15:04.500676,2026-07-13 19:15:05.757056,0 days 00:00:01.256380,dart,0.05,0,1,42,COMPLETE
116,0.8089604832620186,2026-07-13 19:15:05.757056,2026-07-13 19:15:05.821873,0 days 00:00:00.064817,gbtree,0.1,0,1,42,COMPLETE
117,0.8089604832620186,2026-07-13 19:15:05.823879,2026-07-13 19:15:07.083627,0 days 00:00:01.259748,dart,0.1,0,1,42,COMPLETE
118,0.8089604832620186,2026-07-13 19:15:07.083627,2026-07-13 19:15:07.148732,0 days 00:00:00.065105,gbtree,0.1,0,1,42,COMPLETE
119,0.8089604832620186,2026-07-13 19:15:07.148732,2026-07-13 19:15:08.397975,0 days 00:00:01.249243,dart,0.1,0,1,42,COMPLETE
